id,name,schulform,street,plz,stadt,traeger,standorttyp,lat,lon
146,Horkesgath-Gymnasium,Gymnasium,Horkesgath 33,47803,Krefeld,Stadt Krefeld,4,51.3367804351,6.52899832522
147,Maria-Sibylla-Merian-Gymnasium,Gymnasium,Johannes-Blum-Straße 101,47807,Krefeld,Stadt Krefeld,4,51.3127391165,6.58505832468
148,Ricarda-Huch-Gymnasium,Gymnasium,Moerser Str. 36,47798,Krefeld,Stadt Krefeld,4,51.3394312669,6.56570904193
149,Albert-Schweitzer-Schule,Realschule,Lewerentzstr. 136,47798,Krefeld,Stadt Krefeld,5,51.3253514253,6.55712887247
150,Edmund-ter-Meer-Schule,Realschule,Uerdinger Str. 783,47800,Krefeld,Stadt Krefeld,4,51.3497836736,6.63292660678
151,Realschule Horkesgath,Realschule,Horkesgath 33,47803,Krefeld,Stadt Krefeld,4,51.3367804351,6.52899832522
152,Carl-Fuhlrott-Schule,Hauptschule,Rankestr. 2,40699,Erkrath,Stadt Erkrath,4,51.2082894253,6.96522322161
153,Gymnasium Hochdahl,Gymnasium,Rankestr. 4-6,40699,Erkrath,Stadt Erkrath,4,51.2085283056,6.96568614231
154,Immanuel-Kant-Gymnasium,Gymnasium,Herzogstr. 75,42579,Heiligenhaus,Stadt Heiligenhaus,3,51.3238698389,6.97146384496
155,Evangelische Gesamtschule Hilden,Gesamtschule,Gerresheimer Str. 74,40721,Hilden,Evangelische Kirche,3,51.1735835564,6.92853544573
156,Dietrich-Bonhoeffer-Gymnasium,Gymnasium,Gerresheimer Str. 74,40721,Hilden,Evangelische Kirche,3,51.1735835564,6.92853544573
157,Wilhelm-Fabry-Realschule,Realschule,Am Holterhöfchen 26,40724,Hilden,Stadt Hilden,5,51.1651611781,6.94533653419
158,Wilhelmine-Fliedner-Realschule,Realschule,Gerresheimer Str. 74,40721,Hilden,Evangelische Kirche,3,51.1735835564,6.92853544573
159,Anne-Frank-Schule,Hauptschule,Borner Weg 5,40822,Mettmann,Stadt Mettmann,4,51.2564597155,6.97186149981
160,Carl-Fuhlrott-Realschule,Realschule,Goethestr. 33,40822,Mettmann,Stadt Mettmann,3,51.2560413105,6.96920256116
161,Elsa-Brandström-Schule,Hauptschule,Duisburger Straße 112,40885,Ratingen,Stadt Ratingen,4,51.3435985332,6.82643605657
162,Carl-Friedrich-von-Weizsäcker-Gymnasium,Gymnasium,Karl-Mücher-Weg 2,40878,Ratingen,Stadt Ratingen,2,51.2894488662,6.85179733365
163,Dietrich-Bonhoeffer-Gymnasium,Gymnasium,Erfurter Str. 30,40880,Ratingen,Stadt Ratingen,4,51.2917451323,6.81845141688
164,Kopernikus-Gymnasium,Gymnasium,Duisburger Str. 112,40885,Ratingen,Stadt Ratingen,2,51.3430225941,6.82780348192
165,Käthe-Kollwitz-Schule,Realschule,Erfurter Straße 40,40880,Ratingen,Stadt Ratingen,5,51.2924317619,6.81923777809
166,Martin-Luther-King-Schule,Hauptschule,Grünstr. 35,42551,Velbert,Stadt Velbert,4,51.3399968438,7.05046340867
167,Geschwister-Scholl-Gymnasium,Gymnasium,Von-Humboldt-Straße 54-58,42549,Velbert,Stadt Velbert,3,51.3425944681,7.01790074754
168,Nikolaus-Ehlen-Gymnasium,Gymnasium,Friedrich-Ebert-Str. 81,42549,Velbert,Stadt Velbert,2,51.3366882199,7.04451856298
169,Heinrich-Kölver-Schule,Realschule,An der Maikammer 46-54,42553,Velbert,Stadt Velbert,3,51.3089430089,7.07594168123
170,Theodor-Heuss-Schule,Realschule,Bergstr. 20,42489,Wülfrath,Stadt Wülfrath,4,51.2847557289,7.02977999473
171,Helene‐Lange-Realschule,Realschule,Joseph-Boismard-Weg 10,45276,Essen,Stadt Essen,5,51.4450594672,7.07295287594
172,Albert‐Einstein-Realschule,Realschule,Ardeyplatz 1,45134,Essen,Stadt Essen,3,51.4249749535,7.04453192231
173,Bertha‐Krupp-Realschule,Realschule,Kerckhoffstr. 43,45144,Essen,Stadt Essen,5,51.4523018821,6.98516448166
174,Gertrud‐Bäumer-Realschule,Realschule,Grünstr. 54,45326,Essen,Stadt Essen,5,51.4925711604,7.00624857873
175,Bertha‐von‐Suttner-Realschule,Realschule,Karolinenstr. 1-3,45130,Essen,Stadt Essen,5,51.4370506081,7.01958210262
176,Franz‐Dinnendahl‐Realschule,Realschule,Schönscheidtstr. 174,45307,Essen,Stadt Essen,5,51.4553645544,7.06856176682
177,Geschwister‐Scholl-Realschule,Realschule,Hülsmannstr. 46,45355,Essen,Stadt Essen,5,51.4782425299,6.95034175379
178,Gustav‐Heinemann-Gesamtschule,Gesamtschule,Schonnebeckhöfe 58-64,45309,Essen,Stadt Essen,4,51.4863487817,7.05658772853
179,Frida‐Levy-Gesamtschule,Gesamtschule,Varnhorststraße 2,45127,Essen,Stadt Essen,4,51.4546483496,7.01772977165
180,Leibniz-Gymnasium,Gymnasium,Stankeitstr. 22,45326,Essen,Stadt Essen,5,51.4928723769,7.01302279219
181,Carl‐Humann-Gymnasium,Gymnasium,Laurentiusweg 20,45276,Essen,Stadt Essen,4,51.4481510055,7.07006201789
182,Gymnasium Essen Werden,Gymnasium,Grafenstr. 9,45239,Essen,Stadt Essen,1,51.3885286295,6.99992750102
183,Helmholtz-Gymnasium,Gymnasium,Rosastr. 83,45130,Essen,Stadt Essen,2,51.4363493979,7.0164888835
184,Gymnasium Essen-Überruhr,Gymnasium,Langenberger Straße 380,45277,Essen,Stadt Essen,3,51.4244585182,7.06989667977
185,Viktoria-Gymnasium,Gymnasium,Kurfürstenplatz 1,45138,Essen,Stadt Essen,4,51.4507732742,7.0250667044
186,Gymnasium An der Wolfskuhle,Gymnasium,Pinxtenweg 6,45276,Essen,Stadt Essen,4,51.4514044129,7.09059516124
187,Grashof-Gymnasium,Gymnasium,Grashofstr. 55,45133,Essen,Stadt Essen,3,51.4167055837,6.98855338853
188,Theodor‐Heuss-Gymnasium,Gymnasium,Hauptstr. 148,45219,Essen,Stadt Essen,1,51.3655526837,6.93472488155
189,Ernst-Eversbusch-Schule,Hauptschule,Berliner Str. 109,58135,Hagen,Stadt Hagen,5,51.3478776295,7.42865253894
190,Hauptschule Hohenlimburg,Hauptschule,Wachtelweg 19-21,58119,Hagen,Stadt Hagen,4,51.362185727,7.56568454589
191,Heinrich-Heine-Schule,Realschule,Kapellenstr. 38,58099,Hagen,Stadt Hagen,5,51.3838476822,7.4682286343
192,Realschule Halden,Realschule,Lützowstr. 115/117,58095,Hagen,Stadt Hagen,4,51.3684866733,7.49443357176
193,"Realschule Emst
",Realschule,Schwelmstück 3,58093,Hagen,Stadt Hagen,5,51.3535683164,7.50623302564
194,Luise-Rehling-Realschule,Realschule,Friedensstr. 26,58097,Hagen,Stadt Hagen,5,51.3680144965,7.46563982384
195,Realschule Hohenlimburg,Realschule,Im Kley 32,58119,Hagen,Stadt Hagen,3,51.3638286322,7.56948121637
196,Gesamtschule Haspe,Gesamtschule,Kirmesplatz 2,58135,Hagen,Stadt Hagen,3,51.3468586318,7.41708041417
197,Theodor-Heuss-Gymnasium,Gymnasium,Humpertstraße 19,58097,Hagen,Stadt Hagen,3,51.3698165691,7.47817709679
198,Gymnasium Hohenlimburg,Gymnasium,Wiesenstr. 27,58119,Hagen,Stadt Hagen,2,51.3631906123,7.570678765
199,Ricarda-Huch-Gymnasium,Gymnasium,Voswinckelstr. 1,58095,Hagen,Stadt Hagen,5,51.3612985797,7.47360966761
200,Fichte-Gymnasium,Gymnasium,Goldbergstr. 20,58095,Hagen,Stadt Hagen,4,51.3562243404,7.4682353099
201,Martin-Luther-Schule,Hauptschule,Bockelweg 83,59073,Hamm,Stadt Hamm,5,51.7082179842,7.81493945161
202,Albert-Schweitzer-Schule,Hauptschule,Stefanstr. 33,59075,Hamm,Stadt Hamm,5,51.6952746054,7.74597340386
203,Karlschule,Hauptschule,Westberger Weg 17/19,59065,Hamm,Stadt Hamm,5,51.6943023144,7.80943090667
204,Anne-Frank-Schule,Hauptschule,Frankenstr. 12,59067,Hamm,Stadt Hamm,5,51.6703608181,7.77825649412
205,Falkschule,Hauptschule,An der Falkschule 9,59077,Hamm,Stadt Hamm,5,51.6595103669,7.74487485229
206,Erlenbachschule,Hauptschule,Kirchweg 90,59071,Hamm,Stadt Hamm,3,51.6741502998,7.87789140788
207,Marienschule,Realschule,Franziskanerstr. 1,59065,Hamm,"Erzbischöfliches Generalvikariat,",3,51.6837508802,7.82199851412
208,Realschule Mark,Realschule,Marker Dorfstr. 8,59071,Hamm,Stadt Hamm,3,51.683356912,7.85487549017
209,Galilei-Gymnasium,Gymnasium,Dr.-Voßhage-Straße 1,59065,Hamm,Stadt Hamm,4,51.690088577,7.78362262207
210,Beisenkamp-Gymnasium,Gymnasium,Am Beisenkamp 1,59063,Hamm,Stadt Hamm,3,51.6726866647,7.83013531943
211,Gymnasium Hammonense,Gymnasium,Adenauerallee 2,59065,Hamm,Stadt Hamm,4,51.6847114714,7.81919724594
212,Märkisches Gymnasium,Gymnasium,Wilhelm-Liebknecht-Str. 11,59067,Hamm,Stadt Hamm,4,51.6631094121,7.79150283436
213,Freiherr-vom-Stein-Gymnasium,Gymnasium,Karl-Koßmannstr. 2,59071,Hamm,Stadt Hamm,3,51.6819271432,7.8283789713
214,Friedensschule,Gesamtschule,Marker Allee 20,59063,Hamm,Stadt Hamm,4,51.681450834,7.8292877256
215,Konrad-Adenauer-Realschule,Realschule,Heideweg 4,59069,Hamm,Stadt Hamm,2,51.6452593243,7.84609795816
216,"Schule ""Am Windmühlenberg""",Hauptschule,Bahnhofstraße 1,59368,Werne,Stadt Werne,2,51.6654585295,7.63199722578
217,Erich-Kästner-Schule,Hauptschule,Waltroperstraße 19,59379,Selm,Stadt Selm,2,51.6630244953,7.46801545796
218,ProfilSchuleLünen,Hauptschule,Friedhofstr. 4,44536,Lünen,Stadt Lünen,4,51.5971263758,7.44429815398
219,Pestalozzischule,Hauptschule,Woortstraße 110,59199,Bönen,Gemeinde Bönen,3,51.595443926,7.76996761331
220,Hellweg-Realschule ,Realschule,Königsborner Str. 12,59427,Unna,Stadt Unna,3,51.541581775,7.6533301862
221,Ludwig-Uhland-Realschule,Realschule,Preußenstraße 162,44532,Lünen,Stadt Lünen,4,51.5981911178,7.5564427477
222,Freiherr-vom-Stein-Realschule,Realschule,Hochstraße 54 a,59192,Bergkamen,Stadt Bergkamen,3,51.6214497966,7.64978295827
223,Realschule Oberaden,Realschule,Pantenweg 12,59192,Bergkamen,Stadt Bergkamen,3,51.6107405949,7.59719970585
224,Humboldt-Realschule,Realschule,Billy-Montigny-Platz 5,59199,Bönen,Gemeinde Bönen,3,51.602835035,7.76445222652
225,Fridtjof-Nansen-Realschule ,Realschule,Gutenbergstr. 2,59174,Kamen,Stadt Kamen,3,51.5889771375,7.67768647353
226,Otto-Hahn-Realschule,Realschule,Südkirchener Str. 16,59379,Selm,Stadt Selm,1,51.7006324206,7.47091048393
227,Peter-Weiss-Gesamtschule Unna,Gesamtschule,Herderstraße 16,59423,Unna,Stadt Unna,3,51.5331405683,7.69622494382
228,Willy-Brandt-Gesamtschule,Gesamtschule,Am Friedrichsberg 30,59192,Bergkamen,Stadt Bergkamen,4,51.6232214502,7.64908053487
229,Käthe-Kollwitz-Gesamtschule,Gesamtschule,Dammwiese 8,44532,Lünen,Stadt Lünen,5,51.5890921245,7.52087245881
230,Geschwister-Scholl-Gymnasium,Gymnasium,Palaiseaustraße 2,59425,Unna,Stadt Unna,2,51.5467157103,7.69315000874
231,Ernst-Barlach-Gymnasium,Gymnasium,Seminarstr. 4,59423,Unna,Stadt Unna,2,51.5305186684,7.69485871418
232,Pestalozzi-Gymnasium,Gymnasium,Morgenstr. 47-51,59423,Unna,Stadt Unna,2,51.5350024976,7.69878325553
233,Clara-Schumann-Gymnasium,Gymnasium,Opherdicker Str. 44,59439,Holzwickede,Gemeinde Holzwickede,2,51.4972205236,7.62373372409
234,Anne-Frank-Gymnasium,Gymnasium,Goetheweg 12,59368,Werne,Stadt Werne,2,51.6701020953,7.61757408301
235,Marie-Curie-Gymnasium,Gymnasium,Billy-Montigny-Platz 5,59199,Bönen,Gemeinde Bönen,1,51.601949789,7.76707408969
236,Freiherr-vom-Stein-Gymnasium,Gymnasium,Friedenstr. 12,44532,Lünen,Stadt Lünen,3,51.6110317044,7.51574166705
237,Overbergschule,Hauptschule,Rhienscher Berg 12,58452,Witten ,Stadt Witten,4,51.4364192008,7.34818616406
238,Gustav-Heinemann-Schule,Hauptschule,Holthausstr. 15,58332,Schwelm,Stadt Schwelm,4,51.2848091668,7.28036968312
239,Otto-Schott-Realschule,Realschule,Am Viehmarkt 5,58452,Witten ,Stadt Witten,4,51.43836729,7.34448973698
240,St. Jacobus-Schule,Realschule,Wahnscheider Straße 13,58339,Breckerfeld,Evangelische Kirche von Westfalen,1,51.2605540876,7.47246268724
241,Realschule Grünstraße,Realschule,Grünstr. 27-29,45525,Hattingen,Stadt Hattingen,3,51.3914919575,7.1853164179
242,Dietrich-Bonhoeffer-Realschule,Realschule,Ländchenweg 9,58332,Schwelm,Stadt Schwelm,3,51.284685477,7.30298561565
243,Realschule Am Bleichstein,Realschule,Hengsteyseestraße 25,58313,Herdecke,Stadt Herdecke,3,51.3969138378,7.43809748971
244,Helene-Lohmann-Realschule,Realschule,Bommerfelder Ring 111,58452,Witten ,Stadt Witten,3,51.4177755972,7.33963013557
245,Holzkamp-Gesamtschule,Gesamtschule,Willy-Brandt-Str. 2,58453,Witten ,Stadt Witten,3,51.4378057417,7.37353964171
246,Hardenstein-Gesamtschule,Gesamtschule,An der Wabeck 4,58456,Witten ,Stadt Witten,3,51.4157858782,7.27876483975
247,Friedrich-Harkort-Schule,Gymnasium,Hengsteyseestraße 40,58313,Herdecke,Stadt Herdecke,3,51.3963593275,7.44079589301
248,Geschwister-Scholl-Schule,Hauptschule,Schiessbergstraße 111,57078,Siegen,Stadt Siegen,4,50.9138843585,7.99781634586
249,Achenbacher Schule,Hauptschule,Achenbacher Furt 7,57072,Siegen,Stadt Siegen,4,50.865629432,7.9936522777
250,Kopernikusschule,Hauptschule,Am Porzhain 25,57290,Neunkirchen,Gemeinde Neunkirchen,3,50.788602134,8.01727428277
251,Ludwig-zu-Sayn-Wittgenstein-Schule,Hauptschule,Hermann-Böttger-Weg 7,57319,Bad Berleburg,Stadt Bad Berleburg,1,51.039587704,8.3770893352
252,Realschule Am Schiessberg,Realschule,Schiessbergstraße 103,57078,Siegen,Stadt Siegen,4,50.908677253,7.99441629856
253,Realschule Am Oberen Schloss,Realschule,Burgstraße 10-14,57072,Siegen,Stadt Siegen,4,50.8750242161,8.02769080379
254,Realschule Am Häusling,Realschule,Dr.-Ernst-Straße 19,57074,Siegen,Stadt Siegen,2,50.8695388979,8.01888346791
255,Realschule des Freien Grundes,Realschule,Am Kirchweg 1,57290,Neunkirchen,Gemeinde Neunkirchen,2,50.7881245371,8.00969721817
256,Realschule Am Kreuzberg,Realschule,Haardtstraße 35,57250,Netphen,Stadt Netphen,1,50.9183929696,8.09878809497
257,Carl-Kraemer-Realschule,Realschule,Jung-Stilling-Allee 8,57271,Hilchenbach,Stadt Hilchenbach,1,50.9991877642,8.10471907607
258,Bertha-von-Suttner-Schule,Gesamtschule,Kolpingstr. 35,57072,Siegen,Stadt Siegen,2,50.886321272,8.03822777732
259,Gymnasium Stift Keppel,Gymnasium,Stift-Keppel-Weg 37,57271,Hilchenbach,Vereinigte Stifte Geseke-Keppel,1,50.9764492582,8.08423773916
260,Gymnasium Auf der Morgenröthe,Gymnasium,Höllenwaldstr. 100,57080,Siegen,Stadt Siegen,2,50.8486581975,7.98234522228
261,Fürst-Johann-Moritz-Gymnasium,Gymnasium,Ferndorfstr. 10,57076,Siegen,Stadt Siegen,3,50.9038467539,8.01833315958
262,Gymnasium Am Löhrtor,Gymnasium,Oranienstr. 27,57072,Siegen,Stadt Siegen,3,50.871680416,8.02126787152
263,Peter-Paul-Rubens-Gymnasium,Gymnasium,Rosterstraße 143,57074,Siegen,Stadt Siegen,3,50.8615147188,8.01902002285
264,Dietrich-Bonhoeffer-Gymnasium,Gymnasium,Kopernikusring 100,57290,Neunkirchen,Gemeinde Neunkirchen,1,50.7886274573,8.01282072799
265,Johannes-Althusius-Gymnasium,Gymnasium,Im Herrengarten 11,57319,Bad Berleburg,Stadt Bad Berleburg,1,51.0502658939,8.39126691892
266,Anne-Frank-Schule Meggen,Hauptschule,Aufm Ohl 12d,57368,Lennestadt,Stadt Lennestadt,3,51.1145411393,8.06331040938
267,Nikolaus-Kopernikus-Realschule,Realschule,Kopernikusstr. 22-24,57413,Finnentrop,Gemeinde Finnentrop,3,51.1711086096,7.9730418187
268,Lessingschule Grevenbrück,Realschule,Lehmbergstr. 74,57368,Lennestadt,Stadt Lennestadt,1,51.1397592854,8.01838227937
269,Realschule Olpe-Drolshagen,Realschule,Franziskanerstraße 4,57462,Olpe,Realschulverband Olpe/Drolshagen,2,51.0297074282,7.84194511133
270,Hauptschule Letmathe,Hauptschule,Aucheler Straße 12,58642,Iserlohn,Stadt Iserlohn,3,51.3727545234,7.60401138072
271,Realschule Letmathe,Realschule,Von-der-Kuhlen-Str. 12,58642,Iserlohn,Stadt Iserlohn,3,51.3669733164,7.61697264234
272,Realschule Letmathe,Realschule,Von-der-Kuhlen-Str. 12,58642,Iserlohn,Stadt Iserlohn,3,51.3669733164,7.61697264234
273,Geschwister-Scholl-Realschule,Realschule,Albert-Schweitzer-Str. 4,58840,Plettenberg,Stadt Plettenberg,2,51.2321709975,7.85521774864
274,Richard-Schirrmann-Schule,Realschule,Buckesfelder Str. 73,58509,Lüdenscheid,Stadt Lüdenscheid,4,51.2244293203,7.60523038007
275,Hans-Prinzhorn-Realschule,Realschule,Urbecker Straße 52,58675,Hemer,Stadt Hemer,3,51.3896439285,7.77449868099
276,Richard-Schirrmann-Realschule,Realschule,Nettestraße 58-60,58762,Altena,Stadt Altena,3,51.2958675017,7.68060515609
277,Albert-Einstein-Gesamtschule,Gesamtschule,Stadionstr. 50,58791,Werdohl,Stadt Werdohl,3,51.2533615046,7.78043353502
278,Märkisches Gymnasium,Gymnasium,Alexander-Pfänder-Weg 7,58636,Iserlohn,Stadt Iserlohn,3,51.3896096056,7.70023083974
279,Gymnasium an der Stenner,Gymnasium,Stennerstraße 5,58636,Iserlohn,Stadt Iserlohn,3,51.3780707091,7.69822248742
280,Burggymnasium,Gymnasium,Bismarckstraße 10,58762,Altena,Stadt Altena,2,51.2981772917,7.67042320386
281,Anne-Frank-Gymnasium,Gymnasium,Kantstraße 2,58553,Halver,Stadt Halver,1,51.1837219158,7.49171051498
282,Bergstadt-Gymnasium,Gymnasium,Saarlandstraße 5,58511,Lüdenscheid,Stadt Lüdenscheid,3,51.2201913309,7.64543840774
283,Geschwister-Scholl-Gymnasium,Gymnasium,Hochstr. 27,58511,Lüdenscheid,Stadt Lüdenscheid,2,51.2133551959,7.63500511568
284,Zeppelin-Gymnasium,Gymnasium,Staberger Str. 10,58511,Lüdenscheid,Stadt Lüdenscheid,2,51.2133447519,7.63642232495
285,Evangelisches Gymnasium Meinerzhagen,Gymnasium,Christoph-Friedrich-Baehrens-Straße,58540,Meinerzhagen,Evangelische Kirche von Westfalen,1,51.1099082702,7.63567793588
286,Gymnasium Letmathe,Gymnasium,Aucheler Straße 10,58642,Iserlohn,Stadt Iserlohn,2,51.3728327724,7.60624012165
287,Friedrich-Leopold-Woeste-Gymnasium,Gymnasium,Albert-Schweitzer-Straße 1,58675,Hemer,Stadt Hemer,2,51.3849990821,7.75742403788
